Timestamp (s),Raw Gyro (deg),Left Motor Voltage (V),Right Motor Voltage (V),Left Motor Current (A),Right Motor Current (A),Left Wheel Velocity (rad/s),Right Wheel Velocity (rad/s)
1410.58,1114.37,-3.51877,-9.74321,2.75,20.875,-14.0206,-48.4738
1410.6,1113,-3.10235,-9.02884,2.5,19.75,-14.5728,-50.3146
1410.62,1110.28,-3.21887,-9.38465,2,18.125,-13.8365,-36.1406
1410.64,1107.51,-3.30528,-8.96183,1.625,15.875,-13.6831,-40.7425
1410.66,1103.29,-2.68959,-7.38397,1.25,12.25,-14.3274,-48.9647
1410.68,1101.88,-2.68959,-7.38397,1.125,9.375,-14.5115,-44.148
1410.7,1099.03,-0.6913,-3.74565,0.625,4.875,-14.5421,-32.2443
1410.72,1096.22,-0.756989,-3.74565,0.375,2.625,-14.2967,-41.5402
1410.74,1093.49,0.567742,-0.558358,0.125,0.25,-12.3639,-44.6388
1410.76,1091.03,0,-0.558358,0.25,0.125,-11.5662,-30.3115
1410.78,1087.91,0,0,0.25,0.125,-14.0206,-19.6656
1410.8,1086.28,0.177419,0.178152,0.25,0.25,-14.5728,-22.7643
1410.82,1085.49,0.177419,0.368182,0.125,0.25,-15.2478,-35.0668
1410.84,1084.13,0.366667,0.368182,0.25,0.25,-14.8183,-37.1223
1410.86,1082.42,0.366667,0.368182,0.375,0.5,-13.7138,-25.9856
1410.88,1081.93,0.366667,0.368182,0.375,0.5,-13.7138,-21.1383
1410.9,1080.57,0.366667,0.368182,0.5,0.625,-13.7445,-13.6831
1410.93,1079.87,0.368182,0.368182,0.5,0.5,-14.0206,-13.1922
1410.95,1079.34,0.368182,0.368182,0.5,0.5,-14.266,-16.475
1410.97,1078.9,0.368182,0.368182,0.5,0.5,-14.2353,-18.7759
1410.99,1078.46,0.368182,0.368182,0.5,0.5,-13.8365,-24.2062
1411.01,1078.33,0.368182,0.369697,0.5,0.5,-13.6217,-21.2917
1411.03,1078.11,0.368182,0.369697,0.5,0.5,-13.2843,-18.6839
1411.05,1077.89,0.368182,0.369697,0.5,0.5,-12.8548,-11.9651
1411.07,1077.8,0.368182,0.369697,0.375,0.5,-12.3332,-9.29592
1411.09,1077.76,0.368182,0.369697,0.375,0.5,-11.6583,-7.88466
1411.11,1077.71,0.369697,0.369697,0.375,0.375,-11.2287,-7.02563
1411.13,1077.71,0.75132,0.75132,0.5,0.5,-10.4924,-6.59612
1411.15,1077.67,1.22835,1.22835,0.875,0.875,-9.23456,-6.1666
1411.18,1077.71,1.22835,1.22835,1.125,1.125,-7.8233,-5.49165
1411.2,1077.71,1.51457,1.51457,1.375,1.25,-6.99495,-5.27689
1411.22,1077.76,1.49594,1.49594,1.875,1.875,-5.46097,-4.63262
1411.24,1077.76,2.8152,2.8152,2.875,2.625,-3.52816,-3.16
1411.26,1077.8,2.8152,2.8152,4,3.625,-1.90214,-1.41126
1411.28,1077.8,2.8152,2.8152,4.5,4,-0.82835,-0.79767
1411.3,1077.8,3.47483,3.47483,4.875,4.375,0.79767,0.859029
1411.32,1077.76,3.3739,3.33065,5.125,4.5,2.11689,2.11689
1411.34,1077.71,3.55689,3.51129,5.375,4.75,3.37476,3.43612
1411.36,1077.67,3.55689,3.51129,5.125,4.75,4.57126,4.20311
